TITLE:  ,"Longitudinal Quality of Life Study Among Participants with AIDS-Associated Kaposi Sarcoma at Bugando Medical Centre, in Mwanza, Tanzania  "
PHASE OF STUDY:  ,Pilot  
PARTICIPATING INSTITUTIONS:  ,"This protocol will be open at the Bugando Medical Centre in Mwanza, Tanzania  "
ACCRUAL TARGET:  ,"Minimum: 12, Maximum: 20  "
POPULATION:  ,Participants with KS who are HIV-positive initiating chemotherapy with bleomycin and vincristine sulfate (BV). See Section 3.0 for eligibility criteria.  
REGIMEN:  ,"Participants will receive standard therapy for KS: bleomycin (15 units/m2) and vincristine (2mg fixed dose) infused intravenously every 21 days for a maximum of six cycles. A Quality of Life (QOL) survey, the Functional Assessment of Cancer Therapy-General (FACT-G), will be administered at baseline, after 3 and 6 cycles of treatment (cycle 4 and treatment discontinuation), and at 3 months after treatment discontinuation.  "
DURATION:  ,7 months  
PRIMARY OBJECTIVE:  ,To evaluate the longitudinal quality of life of participants with HIV-associated KS during treatment with vincristine and bleomycin at a single institution in East Africa.  
SECONDARY OBJECTIVE:  ,To explore baseline and time-dependent correlates of improvements in quality of life.  
EXPLORATORY OBJECTIVE:  ,"To assess quality control (completeness and accuracy) in data capture of adverse events, clinical benefit, and objective response for site evaluation and training purposes.  "
