Abbreviation or Specialist Term  ,Explanation  
ADL  ,Activities of daily living  
AE  ,Adverse event  
ALT  ,Alanine aminotransferase (SGPT)  
ANCOVA  ,Analysis of covariance  
APC  ,Antigen presenting cell  
APR  ,Apremilast  
AST  ,Aspartate aminotransferase (SGOT)  
ATC  ,Anatomical Therapeutic Chemical  
β-hCG  ,Beta human chorionic gonadotropin  
BID  ,Twice daily  
BMI  ,Body mass index  
BSA  ,Body surface area  
BUN  ,Blood urea nitrogen  
cAMP  ,Cyclic adenosine monophosphate  
CBC  ,Complete blood count  
CI  ,Confidence interval  
CIN  ,Cervical intraepithelial neoplasia  
CMH  ,Cochran–Mantel–Haenszel  
CRO  ,Contract Research Organization  
CLcr  ,Creatinine clearance  
CRF  ,Case report form  
DLQI  ,Dermatology Life Quality Index  
DMARD  ,Disease-modifying antirheumatic drug  
EC  ,Ethics Committee  
eCRF  ,Electronic case report form  
EEA  ,European Economic Area  
eGFR  ,Estimated glomerular filtration rate  
