Abbreviation or Specialist Term  ,Explanation  
EMA  ,European Medicines Agency  
EOT  ,End of treatment  
EQ-5D  ,European Quality of Life 5-Dimension Questionnaire  
FCBP  ,Females of childbearing potential  
FDA  ,Food and Drug Administration  
GCP  ,Good Clinical Practice  
GEE  ,Generalized estimating equations  
GGT  ,Gamma-Glutamyl Transferase  
HDPE  ,High-density polyethylene  
IB  ,Investigator’s Brochure  
ICF  ,Informed consent form  
ICH  ,International Council for Harmonisation  
IL  ,Interleukin  
IP  ,Investigational product  
IRB  ,Institutional Review Board  
IRT  ,Interactive response technology  
ITT  ,Intent to treat  
IUD  ,Intrauterine device  
LDH  ,Lactate Dehydrogenase  
MCH  ,Mean Corpuscular Hemoglobin  
MCHC  ,Mean Corpuscular Hemoglobin Concentration  
MCV  ,Mean Corpuscular Volume  
MedDRA  ,Medical Dictionary for Regulatory Activities  
MG  ,Milligrams  
MI  ,Multiple imputation  
MMRM  ,Mixed-Effect Model Repeated Measure  
Modified sPGA-G  ,Modified Static Physicians Global Assessment of Genitalia  
NAPSI  ,Nail Psoriasis Severity Index  
NRS  ,Numeric Rating Scale  
