Visit Number  ,Screening  ,Placebo-Controlled Phasea  ,,,,Apremilast Extension Phaseb  ,,,,Post-Treatment Observational Follow-upd  
,1  ,Baseline 2  ,3  ,4  ,5  ,6  ,7  ,8  ,9/ETc  ,56 (or 4 weeks after study discontinuation)  
Week  ,-35 to 0 days  ,0 (Day 1)  ,(± 3 days)  2  ,4  (± 3 days)  ,16 (± 3 days)  ,20 (± 4 days)  ,32 (± 4 days)  ,44 (± 4 days)  ,52 (± 4 days)  
Health-related Quality of Life and Efficacy Assessmentsj  
DLQI  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,- ,X  ,- 
sPGA of Visible Locationk  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,- ,X  ,- 
ScPGAk  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,- ,X  ,- 
Nail Assessmentl  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,- ,X  ,- 
NAPSIk  ,,X  ,X  ,X  ,X  ,X  ,X  ,- ,X  ,- 
Modified sPGA-Gk  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,- ,X  ,- 
PPPGAk  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,- ,X  ,- 
Itch NRS  ,- ,X  ,X  ,X  ,X  ,X  ,X  ,- ,X  ,- 
Skin Discomfort/Pain  VAS  ,- ,X  ,X  ,X  ,X  ,X  ,X  ,- ,X  ,- 
PASI  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,- ,X  ,- 
BSA  ,- ,X  ,X  ,X  ,X  ,X  ,X  ,- ,X  ,- 
EQ-5D  ,- ,X  ,- ,- ,X  ,- ,- ,- ,X  ,- 
PNQ  ,- ,X  ,- ,- ,- ,- ,- ,- ,- ,- 
PBQ  ,- ,- ,- ,X  ,X  ,- ,X  ,- ,X  ,- 
WPAI: PSO  ,- ,X  ,- ,- ,X  ,- ,- ,- ,X  ,- 
Photographym  ,- ,X  ,- ,- ,X  ,- ,X  ,- ,X  ,- 
